Mark 3 and Mark 4
Mk I, Mk II, Mk III, Mk IV
Mle 1907
Kingfisher Lager
Mk VII, Mk VIIv, Mk VIII, Mk XXIV
0.51
M422A1
Fitz Special
Yellow Izarra, Green Izarra
Al Fahd 500
Original Chocolate
Ikv 102, Ikv 103, Pansarvärnsrobotbandvagn 551 and Luftvärnsrobotvagn 701
PSRL-1
Regular/Duff Light/Duff Dry , Lady Duff, Raspberry Duff, Out of Control Duff, Duff Gummy Beers, Henry K. Duff's Private Reserve, Duff Stout, Duff Zero , Duff Adequate / Le Duff , Pawtucket Patriot Ale
TKB-022PM No. 2
Tab Clear
FLG, FLG P and FLG K
Diet Dr Pepper
Mark I and Mark II
M71/84
Rani Float
Bliss-Leavitt Mark 8 torpedo
various civilian versions
4
Production Model
target dummy
All Black
All Black with Crimson Trace Laser
Two-tone Smoke
Ra'ad-II
*L-ATV Ambulance
M1885, M1890, M1897
